timestamp,demand_MW,renewable_MW,coal_capacity_MW,gas_capacity_MW,diesel_capacity_MW,temperature_C,load_shedding_stage
2015-01-02 08:00,31850,2810,24500,2100,800,23.3,0
2015-01-02 09:00,32890,3090,24500,2100,800,25.0,0
2015-01-02 10:00,33640,3250,24500,2100,800,26.8,0
2015-01-02 11:00,33920,3310,24500,2100,800,28.2,0
2015-01-02 12:00,34250,3260,24500,2100,800,29.5,0
2015-01-02 13:00,34080,3150,24500,2100,800,30.3,0
2015-01-02 14:00,33740,2950,24500,2100,800,30.9,0
2015-01-02 15:00,33480,2690,24500,2100,800,31.1,0
2015-01-02 16:00,33690,2350,24500,2100,800,30.8,0
2015-01-02 17:00,34230,1890,24500,2100,800,30.0,0
2015-01-02 18:00,34950,1310,24500,2100,800,28.6,0
2015-01-02 19:00,35620,750,24500,2100,800,26.9,0
2015-01-02 20:00,35030,390,24500,2100,800,25.5,0
2015-01-02 21:00,33980,160,24500,2100,800,24.3,0
2015-01-02 22:00,32690,70,24500,2100,800,23.4,0
2015-01-02 23:00,30920,30,24500,2100,800,22.6,0
2015-01-03 00:00,29480,1210,24500,2100,800,21.9,0
2015-01-03 01:00,27920,1150,24500,2100,800,21.3,0
2015-01-03 02:00,26690,1090,24500,2100,800,20.8,0
2015-01-03 03:00,25940,1030,24500,2100,800,20.4,0
2015-01-03 04:00,25360,970,24500,2100,800,20.0,0
2015-01-03 05:00,25820,910,24500,2100,800,19.8,0
2015-01-03 06:00,28080,1440,24500,2100,800,20.1,0
2015-01-03 07:00,30580,2170,24500,2100,800,21.4,0
2015-01-03 08:00,32650,2830,24500,2100,800,23.1,0
2015-01-03 09:00,33690,3110,24500,2100,800,24.8,0
2015-01-03 10:00,34440,3270,24500,2100,800,26.6,0
2015-01-03 11:00,34720,3330,24500,2100,800,28.0,0
2015-01-03 12:00,35050,3280,24500,2100,800,29.3,0
2015-01-03 13:00,34880,3170,24500,2100,800,30.1,0
2015-01-03 14:00,34540,2970,24500,2100,800,30.7,0
2015-01-03 15:00,34280,2710,24500,2100,800,30.9,0
2015-01-03 16:00,34490,2370,24500,2100,800,30.6,0
2015-01-03 17:00,35030,1910,24500,2100,800,29.8,0
2015-01-03 18:00,35750,1330,24500,2100,800,28.4,0
2015-01-03 19:00,36420,770,24500,2100,800,26.7,0
2015-01-03 20:00,35830,410,24500,2100,800,25.3,0
2015-01-03 21:00,34780,180,24500,2100,800,24.1,0
2015-01-03 22:00,33490,80,24500,2100,800,23.2,0
2015-01-03 23:00,31720,40,24500,2100,800,22.4,0
2015-01-04 00:00,30280,1230,24500,2100,800,21.7,0
2015-01-04 01:00,28720,1170,24500,2100,800,21.1,0
2015-01-04 02:00,27490,1110,24500,2100,800,20.6,0
2015-01-04 03:00,26740,1050,24500,2100,800,20.2,0
2015-01-04 04:00,26160,990,24500,2100,800,19.8,0
2015-01-04 05:00,26620,930,24500,2100,800,19.6,0
2015-01-04 06:00,28880,1460,24500,2100,800,19.9,0
2015-01-04 07:00,31380,2190,24500,2100,800,21.2,0
2015-01-04 08:00,33450,2850,24500,2100,800,22.9,0
2015-01-04 09:00,34490,3130,24500,2100,800,24.6,0
2015-01-04 10:00,35240,3290,24500,2100,800,26.4,0
2015-01-04 11:00,35520,3350,24500,2100,800,27.8,0
2015-01-04 12:00,35850,3300,24500,2100,800,29.1,0
2015-01-04 13:00,35680,3190,24500,2100,800,29.9,0
2015-01-04 14:00,35340,2990,24500,2100,800,30.5,0
2015-01-04 15:00,35080,2730,24500,2100,800,30.7,0
2015-01-04 16:00,35290,2390,24500,2100,800,30.4,0
2015-01-04 17:00,35830,1930,24500,2100,800,29.6,0
2015-01-04 18:00,36550,1350,24500,2100,800,28.2,0
2015-01-04 19:00,37220,790,24500,2100,800,26.5,0
2015-01-04 20:00,36630,430,24500,2100,800,25.1,0
2015-01-04 21:00,35580,200,24500,2100,800,23.9,0
2015-01-04 22:00,34290,90,24500,2100,800,23.0,0
2015-01-04 23:00,32520,50,24500,2100,800,22.2,0
2015-01-05 00:00,31080,1250,24500,2100,800,21.5,0
2015-01-05 01:00,29520,1190,24500,2100,800,20.9,0
2015-01-05 02:00,28290,1130,24500,2100,800,20.4,0
2015-01-05 03:00,27540,1070,24500,2100,800,20.0,0
2015-01-05 04:00,26960,1010,24500,2100,800,19.6,0
2015-01-05 05:00,27420,950,24500,2100,800,19.4,0
2015-01-05 06:00,29680,1480,24500,2100,800,19.7,0
2015-01-05 07:00,32180,2210,24500,2100,800,21.0,0
2015-01-05 08:00,34250,2870,24500,2100,800,22.7,0
2015-01-05 09:00,35290,3150,24500,2100,800,24.4,0
2015-01-05 10:00,36040,3310,24500,2100,800,26.2,0
2015-01-05 11:00,36320,3370,24500,2100,800,27.6,0
2015-01-05 12:00,36650,3320,24500,2100,800,28.9,0
2015-01-05 13:00,36480,3210,24500,2100,800,29.7,0
2015-01-05 14:00,36140,3010,24500,2100,800,30.3,0
2015-01-05 15:00,35880,2750,24500,2100,800,30.5,0
2015-01-05 16:00,36090,2410,24500,2100,800,30.2,0
2015-01-05 17:00,36630,1950,24500,2100,800,29.4,0
2015-01-05 18:00,37350,1370,24500,2100,800,28.0,0
2015-01-05 19:00,38020,810,24500,2100,800,26.3,0
2015-01-05 20:00,37430,450,24500,2100,800,24.9,0
2015-01-05 21:00,36380,220,24500,2100,800,23.7,0
2015-01-05 22:00,35090,100,24500,2100,800,22.8,0
2015-01-05 23:00,33320,60,24500,2100,800,22.0,0
2015-01-06 00:00,31880,1270,24500,2100,800,21.3,0
2015-01-06 01:00,30320,1210,24500,2100,800,20.7,0
2015-01-06 02:00,29090,1150,24500,2100,800,20.2,0
2015-01-06 03:00,28340,1090,24500,2100,800,19.8,0
2015-01-06 04:00,27760,1030,24500,2100,800,19.4,0
2015-01-06 05:00,28220,970,24500,2100,800,19.2,0
2015-01-06 06:00,30480,1500,24500,2100,800,19.5,0
2015-01-06 07:00,32980,2230,24500,2100,800,20.8,0
2015-01-06 08:00,35050,2890,24500,2100,800,22.5,0
2015-01-06 09:00,36090,3170,24500,2100,800,24.2,0
2015-01-06 10:00,36840,3330,24500,2100,800,26.0,0
2015-01-06 11:00,37120,3390,24500,2100,800,27.4,0
2015-01-06 12:00,37450,3340,24500,2100,800,28.7,0
2015-01-06 13:00,37280,3230,24500,2100,800,29.5,0
2015-01-06 14:00,36940,3030,24500,2100,800,30.1,0
2015-01-06 15:00,36680,2770,24500,2100,800,30.3,0
2015-01-06 16:00,36890,2430,24500,2100,800,30.0,0
2015-01-06 17:00,37430,1970,24500,2100,800,29.2,0
2015-01-06 18:00,38150,1390,24500,2100,800,27.8,0
2015-01-06 19:00,38820,830,24500,2100,800,26.1,0
2015-01-06 20:00,38230,470,24500,2100,800,24.7,0
2015-01-06 21:00,37180,240,24500,2100,800,23.5,0
2015-01-06 22:00,35890,110,24500,2100,800,22.6,0
2015-01-06 23:00,34120,70,24500,2100,800,21.8,0
2015-01-07 00:00,32680,1290,24500,2100,800,21.1,0
2015-01-07 01:00,31120,1230,24500,2100,800,20.5,0
2015-01-07 02:00,29890,1170,24500,2100,800,20.0,0
2015-01-07 03:00,29140,1110,24500,2100,800,19.6,0
2015-01-07 04:00,28560,1050,24500,2100,800,19.2,0
2015-01-07 05:00,29020,990,24500,2100,800,19.0,0
2015-01-07 06:00,31280,1520,24500,2100,800,19.3,0
2015-01-07 07:00,33780,2250,24500,2100,800,20.6,0
2015-01-07 08:00,35850,2910,24500,2100,800,22.3,0
2015-01-07 09:00,36890,3190,24500,2100,800,24.0,0
2015-01-07 10:00,37640,3350,24500,2100,800,25.8,0
2015-01-07 11:00,37920,3410,24500,2100,800,27.2,0
2015-01-07 12:00,38250,3360,24500,2100,800,28.5,0
2015-01-07 13:00,38080,3250,24500,2100,800,29.3,0
2015-01-07 14:00,37740,3050,24500,2100,800,29.9,0
2015-01-07 15:00,37480,2790,24500,2100,800,30.1,0
2015-01-07 16:00,37690,2450,24500,2100,800,29.8,0
2015-01-07 17:00,38230,1990,24500,2100,800,29.0,0
2015-01-07 18:00,38950,1410,24500,2100,800,27.6,0
2015-01-07 19:00,39620,850,24500,2100,800,25.9,0
2015-01-07 20:00,39030,490,24500,2100,800,24.5,0
2015-01-07 21:00,37980,260,24500,2100,800,23.3,0
2015-01-07 22:00,36690,120,24500,2100,800,22.4,0
2015-01-07 23:00,34920,80,24500,2100,800,21.6,0
